anime_id,title,score,rank,popularity,members,start_date,end_date,type,episodes,,
50,Aa! Megami-sama! (TV),7.31,2872,1592,167681,1/01/2005,1/01/2005,TV,24,,
51,Tenshi Kinryouku,6.23,8943,3424,51979,1/01/2000,1/01/2000,OVA,3,,
52,Kidou Tenshi Angelic Layer,7.26,3144,3102,61920,1/01/2001,1/01/2001,TV,26,,
53,Ai Yori Aoshi,7.1,4043,2118,115948,1/01/2002,1/01/2002,TV,24,,
54,Appleseed (Movie),7.05,4271,2732,77433,1/01/2004,1/01/2004,Movie,1,,
55,Arc the Lad,6.48,7416,5612,17833,1/01/1999,1/01/1999,TV,26,,
57,Beck,8.29,306,724,368356,1/01/2004,1/01/2005,TV,26,,
58,Blue Gender,7.01,4493,2525,87879,1/01/1999,1/01/2000,TV,26,,
59,Chobits,7.39,2511,490,507798,1/01/2002,1/01/2002,TV,26,,
60,Chrno Crusade,7.59,1679,1162,235439,1/01/2003,1/01/2004,TV,24,,
61,D.N.Angel,7.15,3785,1416,190524,1/01/2003,1/01/2003,TV,26,,
62,D.C.: Da Capo,6.7,6111,2700,78649,1/01/2003,1/01/2003,TV,26,,
63,DearS,6.54,7051,1680,155481,1/01/2004,1/01/2004,TV,12,,
64,Rozen Maiden,7.4,2433,1257,216808,1/01/2004,1/01/2004,TV,12,,
65,Rozen Maiden: Träumend,7.61,1599,2183,110204,1/01/2005,1/01/2006,TV,12,,
66,Azumanga Daiou The Animation,8.07,589,633,412927,1/01/2002,1/01/2002,TV,26,,
67,Basilisk: Kouga Ninpou Chou,7.53,1910,1352,200630,1/01/2005,1/01/2005,TV,24,,
68,Black Cat,7.31,2877,969,280571,1/01/2005,1/01/2006,TV,23,,
69,Cluster Edge,6.3,8518,6597,11795,1/01/2005,1/01/2006,TV,25,,
71,Full Metal Panic!,7.59,1686,473,522234,1/01/2002,1/01/2002,TV,24,,
72,Full Metal Panic? Fumoffu,8.02,677,893,308280,1/01/2003,1/01/2003,TV,12,,
73,Full Metal Panic! The Second Raid,7.91,842,1006,270803,1/01/2005,1/01/2005,TV,13,,
74,Gakuen Alice,7.64,1532,2245,105591,1/01/2004,1/01/2005,TV,26,,
75,Soukyuu no Fafner: Dead Aggressor,7.25,3185,3417,52119,1/01/2004,1/01/2004,TV,25,,
76,Mahou Shoujo Lyrical Nanoha,7.41,2408,2190,109422,1/01/2004,1/01/2004,TV,13,,
77,Mahou Shoujo Lyrical Nanoha A's,7.95,771,2931,68790,1/01/2005,1/01/2005,TV,13,,
79,Shuffle!,7,4547,931,290015,1/01/2005,1/01/2006,TV,24,,
80,Kidou Senshi Gundam,7.77,1162,1745,147981,1/01/1979,1/01/1980,TV,43,,
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,7.99,711,2446,92307,1/01/1996,1/01/1999,OVA,12,,
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,8,707,2940,68403,1/01/1989,1/01/1989,OVA,6,,
83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,6.74,5871,6015,14757,1/01/1998,1/01/1998,Movie,1,,
84,Kidou Senshi Gundam 0083: Stardust Memory,7.21,3408,3467,50613,1/01/1991,1/01/1992,OVA,13,,
85,Kidou Senshi Zeta Gundam,7.89,890,2573,85421,1/01/1985,1/01/1986,TV,50,,
86,Kidou Senshi Gundam ZZ,6.68,6238,3504,49720,1/01/1986,1/01/1987,TV,47,,
87,Kidou Senshi Gundam: Gyakushuu no Char,7.69,1372,3231,57267,1/01/1988,1/01/1988,Movie,1,,
88,Kidou Senshi Gundam F91,6.59,6793,4107,36883,1/01/1991,1/01/1991,Movie,1,,
89,Kidou Senshi Victory Gundam,6.71,6044,4425,31449,1/01/1993,1/01/1994,TV,51,,
90,Shin Kidou Senki Gundam Wing,7.66,1461,1579,169241,1/01/1995,1/01/1996,TV,49,,
91,Shin Kidou Senki Gundam Wing: Endless Waltz,7.73,1266,3450,51008,1/01/1997,1/01/1997,OVA,3,,
92,Kidou Shinseiki Gundam X,7.34,2746,3963,39731,1/01/1996,1/01/1996,TV,39,,
93,Kidou Senshi Gundam SEED,7.73,1277,1469,182678,1/01/2002,1/01/2003,TV,50,,
94,Kidou Senshi Gundam SEED Destiny,7.17,3648,2121,115635,1/01/2004,1/01/2005,TV,50,,
95,Turn A Gundam,7.8,1105,3332,54338,1/01/1999,1/01/2000,TV,50,,
96,Kidou Butouden G Gundam,7.58,1736,2793,74447,1/01/1994,1/01/1995,TV,49,,
97,Last Exile,7.78,1139,1453,184851,1/01/2003,1/01/2003,TV,26,,
98,Mai-HiME,7.39,2494,2049,120782,1/01/2004,1/01/2005,TV,26,,
99,Mai-Otome,7.27,3067,3354,53734,1/01/2005,1/01/2006,TV,26,,
100,Shin Shirayuki-hime Densetsu Prétear,7.15,3763,2947,68116,1/01/2001,1/01/2001,TV,13,,
101,Air,7.27,3095,889,309770,1/01/2005,1/01/2005,TV,12,,
102,Aishiteruze Baby★★,7.43,2308,2225,106846,1/01/2004,1/01/2004,TV,26,,
103,Akazukin Chacha,7.41,2392,5635,17609,1/01/1994,1/01/1995,TV,74,,
104,Ayashi no Ceres,7.17,3636,3000,65728,1/01/2000,1/01/2000,TV,24,,
105,Boys Be...,6.38,8058,4879,25274,1/01/2000,1/01/2000,TV,13,,
106,Hana yori Dango,7.57,1782,2987,66280,1/01/1996,1/01/1997,TV,51,,
107,Ou Dorobou Jing,7.17,3663,3958,39800,1/01/2002,1/01/2002,TV,13,,
108,Ou Dorobou Jing in Seventh Heaven,7.23,3334,6219,13587,1/01/2004,1/01/2004,OVA,3,,
109,Bakuretsu Tenshi,6.77,5677,2776,75218,1/01/2004,1/01/2004,TV,24,,
110,Chuuka Ichiban!,7.59,1680,5216,21497,1/01/1997,1/01/1998,TV,52,,
111,Corrector Yui,6.87,5134,5489,18897,1/01/1999,1/01/2000,TV,52,,
113,Uchuu no Stellvia,7.32,2846,4774,26696,1/01/2003,1/01/2003,TV,26,,
114,Sakigake!! Cromartie Koukou,7.88,904,1703,151868,1/01/2003,1/01/2004,TV,26,,
115,Ijigen no Sekai El-Hazard,6.76,5713,6313,13075,1/01/1998,1/01/1998,TV,13,,
116,Shinpi no Sekai El-Hazard (TV),6.93,4850,5397,19847,1/01/1995,1/01/1996,TV,26,,
117,Shinpi no Sekai El-Hazard,7.24,3259,5152,22165,1/01/1995,1/01/1996,OVA,7,,
118,Shinpi no Sekai El-Hazard Season 2,6.76,5733,6989,10343,1/01/1997,1/01/1997,OVA,4,,
119,Final Approach,6.49,7405,4091,37137,1/01/2004,1/01/2004,TV,13,,
120,Fruits Basket,7.69,1395,435,562110,1/01/2001,1/01/2001,TV,26,,
121,Fullmetal Alchemist,8.11,541,85,1539193,1/01/2003,1/01/2004,TV,51,,
122,Full Moon wo Sagashite,7.93,811,2112,116602,1/01/2002,1/01/2003,TV,52,,
123,Fushigi Yuugi,7.6,1670,1965,127306,1/01/1995,1/01/1996,TV,52,,
124,Fushigi Yuugi: Eikouden,6.78,5616,5470,19111,1/01/2001,1/01/2002,OVA,4,,
125,Futakoi,6.41,7895,4086,37213,1/01/2004,1/01/2004,TV,13,,
126,Futakoi Alternative,6.83,5377,4327,33228,1/01/2005,1/01/2005,TV,13,,
127,Gate Keepers,6.9,4994,4981,23963,1/01/2000,1/01/2000,TV,24,,
128,Gate Keepers 21,6.73,5933,6679,11492,1/01/2002,1/01/2003,OVA,6,,
129,Gensoumaden Saiyuuki,7.54,1901,3189,58482,1/01/2000,1/01/2001,TV,50,,
130,Saiyuuki Reload,7.36,2621,4057,37901,1/01/2003,1/01/2004,TV,25,,
131,Saiyuuki Reload Gunlock,7.37,2563,4890,25153,1/01/2004,1/01/2004,TV,26,,
132,GetBackers,7.56,1792,1961,127595,1/01/2002,1/01/2003,TV,49,,
133,Green Green,6.12,9600,2039,121427,1/01/2003,1/01/2003,TV,12,,
134,Gunslinger Girl,7.38,2537,1350,200908,1/01/2003,1/01/2004,TV,13,,
135,Hikaru no Go,8.07,596,1744,148061,1/01/2001,1/01/2003,TV,75,,
136,Hunter x Hunter,8.43,193,381,636312,1/01/1999,1/01/2001,TV,62,,
137,Hunter x Hunter: Original Video Animation,8.31,290,1881,135543,1/01/2002,1/01/2002,OVA,8,,
138,Hunter x Hunter: Greed Island,8.18,444,1497,179894,1/01/2003,1/01/2003,OVA,8,,
139,Hunter x Hunter: Greed Island Final,8.25,357,1681,155071,1/01/2004,1/01/2004,OVA,14,,
142,Kamikaze Kaitou Jeanne,7.46,2207,3137,60502,1/01/1999,1/01/2000,TV,44,,
143,Kannazuki no Miko,6.8,5527,2766,75756,1/01/2004,1/01/2004,TV,12,,
144,Kanon,7.05,4287,2900,69926,1/01/2002,1/01/2002,TV,13,,
145,Kareshi Kanojo no Jijou,7.6,1652,1095,249588,1/01/1998,1/01/1999,TV,26,,
146,Kono Minikuku mo Utsukushii Sekai,6.69,6154,3037,64115,1/01/2004,1/01/2004,TV,12,,
147,Kimi ga Nozomu Eien,7.16,3730,1741,148403,1/01/2003,1/01/2004,TV,14,,
148,Kita e.: Diamond Dust Drops,6.55,6989,6954,10437,1/01/2004,1/01/2004,TV,12,,
149,Loveless,6.7,6066,1764,145940,1/01/2005,1/01/2005,TV,12,,
150,Blood+,7.6,1664,669,393810,1/01/2005,1/01/2006,TV,50,,
151,Re: Cutie Honey,7.14,3842,4316,33496,1/01/2004,1/01/2004,OVA,3,,
152,Solty Rei,7.24,3261,4361,32575,1/01/2005,1/01/2006,TV,24,,
153,Juuni Kokuki,8.01,683,1580,169089,1/01/2002,1/01/2003,TV,45,,
154,Shaman King,7.73,1265,696,381119,1/01/2001,1/01/2002,TV,64,,
155,X/1999,6.56,6943,3813,43013,1/01/1996,1/01/1996,Movie,1,,
156,X,7.38,2557,2520,88375,1/01/2001,1/01/2002,TV,24,,
157,Mahou Sensei Negima!,6.92,4905,1752,147215,1/01/2005,1/01/2005,TV,26,,
158,Maria-sama ga Miteru,7.27,3068,2771,75673,1/01/2004,1/01/2004,TV,13,,
159,Boukyaku no Senritsu,6.25,8866,5344,20304,1/01/2004,1/01/2004,TV,24,,
160,"Ima, Soko ni Iru Boku",7.57,1743,1661,157488,1/01/1999,1/01/2000,TV,13,,
161,Peace Maker Kurogane,7.28,3058,3133,60620,1/01/2003,1/01/2004,TV,24,,
162,Pita Ten,6.92,4923,4850,25633,1/01/2002,1/01/2002,TV,26,,
163,Power Stone,6.46,7567,7324,9171,1/01/1999,1/01/1999,TV,26,,
164,Mononoke Hime,8.67,74,106,1354541,1/01/1997,1/01/1997,Movie,1,,
165,RahXephon,7.37,2603,1971,126917,1/01/2002,1/01/2002,TV,26,,
166,Samurai 7,7.43,2295,1856,137326,1/01/2004,1/01/2004,TV,26,,
167,Scrapped Princess,7.36,2622,2290,102295,1/01/2003,1/01/2003,TV,24,,
168,s.CRY.ed,7.35,2686,2539,87157,1/01/2001,1/01/2001,TV,26,,
169,Shingetsutan Tsukihime,6.78,5642,1506,178092,1/01/2003,1/01/2003,TV,12,,
170,Slam Dunk,8.55,125,812,331276,1/01/1993,1/01/1996,TV,101,,
171,Strange Dawn,6.24,8927,8081,7144,1/01/2000,1/01/2000,TV,13,,
173,Tactics,7.18,3605,3815,42978,1/01/2004,1/01/2005,TV,25,,
174,Tenjou Tenge,6.86,5185,1366,198399,1/01/2004,1/01/2004,TV,24,,
175,Tokyo Underground,6.58,6841,4421,31479,1/01/2002,1/01/2002,TV,26,,
176,Triangle Heart: Sweet Songs Forever,6.08,9813,7788,7801,1/01/2003,1/01/2003,OVA,4,,
177,Tsubasa Chronicle,7.51,2011,1153,238640,1/01/2005,1/01/2005,TV,26,,
178,Ultra Maniac,7.15,3768,4154,36039,1/01/2003,1/01/2003,TV,26,,
179,Ultra Maniac OVA,6.61,6669,8678,6016,1/01/2002,1/01/2002,OVA,1,,
180,Vandread,7.15,3771,2506,89223,1/01/2000,1/01/2000,TV,13,,
181,Vandread: The Second Stage,7.37,2571,3238,56829,1/01/2001,1/01/2002,TV,13,,
182,Tenkuu no Escaflowne,7.65,1508,1544,173867,1/01/1996,1/01/1996,TV,26,,
183,Whistle!,7.35,2701,5868,15757,1/01/2002,1/01/2003,TV,39,,
184,Xenosaga The Animation,6.32,8394,5158,22145,1/01/2005,1/01/2005,TV,12,,
185,Initial D First Stage,8.36,241,607,428234,1/01/1998,1/01/1998,TV,26,,
186,Initial D Second Stage,8.19,430,1061,256898,1/01/1999,1/01/2000,TV,13,,
187,Initial D Third Stage,7.91,845,1339,202338,1/01/2001,1/01/2001,Movie,1,,
189,Love Hina,7.09,4090,978,278364,1/01/2000,1/01/2000,TV,24,,
190,Love Hina Again,7.2,3489,2521,88359,1/01/2002,1/01/2002,OVA,3,,
191,Love Hina Christmas Special: Silent Eve,7.3,2917,3146,60167,1/01/2000,1/01/2000,TV Special,1,,
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,7.17,3654,3313,54854,1/01/2001,1/01/2001,TV Special,1,,
193,Maburaho,6.72,5969,2308,101497,1/01/2003,1/01/2004,TV,24,,
194,Macross Zero,7.47,2165,3847,42351,1/01/2002,1/01/2004,OVA,5,,
195,Onegai☆Teacher,7.09,4100,1442,186529,1/01/2002,1/01/2002,TV,12,,
196,Onegai☆Twins,6.8,5540,2415,93867,1/01/2003,1/01/2003,TV,12,,
197,Rizelmine,6.49,7377,4752,27001,1/01/2002,1/01/2002,TV,24,,
198,Speed Grapher,7.29,2993,2016,123270,1/01/2005,1/01/2005,TV,24,,
199,Sen to Chihiro no Kamikakushi,8.77,42,44,1991112,1/01/2001,1/01/2001,Movie,1,,
200,Tenshi na Konamaiki,7.41,2425,4509,30339,1/01/2002,1/01/2003,TV,50,,
201,Video Girl Ai,7.19,3539,4304,33692,1/01/1992,1/01/1992,OVA,6,,
202,Wolf's Rain,7.79,1114,766,348359,1/01/2003,1/01/2003,TV,26,,
204,Yumeria,6.05,9990,4553,29745,1/01/2004,1/01/2004,TV,12,,
205,Samurai Champloo,8.52,140,109,1326884,1/01/2004,1/01/2005,TV,26,,
206,Lodoss-tou Senki: Eiyuu Kishi Den,7.11,4000,4014,38788,1/01/1998,1/01/1998,TV,27,,
207,Lodoss-tou Senki,7.31,2899,2468,91334,1/01/1990,1/01/1991,OVA,13,,
208,R.O.D: Read or Die,7.61,1646,2796,74416,1/01/2001,1/01/2002,OVA,3,,
209,R.O.D: The TV,7.52,1987,2821,73571,1/01/2003,1/01/2004,TV,26,,
210,Ranma ½,7.77,1171,975,279366,1/01/1989,1/01/1992,TV,161,,
212,Project A-Ko,6.85,5247,4940,24617,1/01/1986,1/01/1986,Movie,1,,
215,Pia Carrot e Youkoso!! 2 DX,6.18,9255,10621,3344,1/01/1999,1/01/2000,OVA,6,,
218,Kidou Senkan Nadesico,7.49,2095,3171,58970,1/01/1996,1/01/1997,TV,26,,
219,Kidou Senkan Nadesico: The Prince of Darkness,6.72,5961,5574,18090,1/01/1998,1/01/1998,Movie,1,,
222,Mezzo DSA,6.61,6648,4800,26221,1/01/2004,1/01/2004,TV,13,,
223,Dragon Ball,7.98,724,150,1119007,1/01/1986,1/01/1989,TV,153,,
225,Dragon Ball GT,6.52,7215,356,668610,1/01/1996,1/01/1997,TV,64,,
226,Elfen Lied,7.46,2201,80,1594118,1/01/2004,1/01/2004,TV,13,,
227,FLCL,8.04,636,229,881113,1/01/2000,1/01/2001,OVA,6,,
228,Jigoku Shoujo,7.6,1647,697,380386,1/01/2005,1/01/2006,TV,26,,
229,Ninin ga Shinobuden,6.87,5160,4083,37294,1/01/2004,1/01/2004,TV,12,,
230,Air Master,6.94,4811,3814,42999,1/01/2003,1/01/2003,TV,27,,
231,Asagiri no Miko,6.1,9725,7401,8923,1/01/2002,1/01/2002,TV,26,,
232,Cardcaptor Sakura,8.18,439,529,478283,1/01/1998,1/01/2000,TV,70,,
233,Daa! Daa! Daa!,7.63,1565,4711,27574,1/01/2000,1/01/2002,TV,78,,
234,Dan Doh!!,6.63,6509,9222,5155,1/01/2004,1/01/2004,TV,26,,
235,Meitantei Conan,8.18,450,709,372521,1/01/1996,,TV,,,
236,E's Otherwise,6.57,6877,5645,17552,1/01/2003,1/01/2003,TV,26,,
237,Koukyoushihen Eureka Seven,8.04,642,560,454786,1/01/2005,1/01/2006,TV,50,,
238,Rekka no Honoo,7.33,2779,2861,71678,1/01/1997,1/01/1998,TV,42,,
239,Gankutsuou,8.11,543,1028,266448,1/01/2004,1/01/2005,TV,24,,
240,Genshiken,7.63,1567,1423,189569,1/01/2004,1/01/2004,TV,12,,
241,Girls Bravo: First Season,6.35,8223,1654,158632,1/01/2004,1/01/2004,TV,11,,
242,Gokusen,7.42,2385,3394,52645,1/01/2004,1/01/2004,TV,13,,
243,Gravitation,6.89,5045,1993,125051,1/01/2000,1/01/2001,TV,13,,
244,Agatha Christie no Meitantei Poirot to Marple,6.88,5114,7485,8694,1/01/2004,1/01/2005,TV,39,,
245,Great Teacher Onizuka,8.68,71,219,900426,1/01/1999,1/01/2000,TV,43,,
246,Groove Adventure Rave,7.2,3478,2242,105646,1/01/2001,1/01/2002,TV,51,,
247,Harukanaru Toki no Naka de: Hachiyou Shou,6.99,4572,4771,26749,1/01/2004,1/01/2005,TV,26,,
248,Ichigo 100%,6.61,6692,2061,119909,1/01/2005,1/01/2005,TV,12,,
249,InuYasha,7.87,924,249,847940,1/01/2000,1/01/2004,TV,167,,
250,Konjiki no Gash Bell!!,7.55,1858,1879,135586,1/01/2003,1/01/2006,TV,150,,
251,Kyou kara Maou!,7.61,1633,2038,121442,1/01/2004,1/01/2006,TV,78,,
252,Madlax,7.01,4513,3687,45492,1/01/2004,1/01/2004,TV,26,,
253,Jungle wa Itsumo Hare nochi Guu,7.8,1088,3515,49363,1/01/2001,1/01/2001,TV,26,,
254,Jungle wa Itsumo Hare nochi Guu Deluxe,7.78,1137,6146,13985,1/01/2002,1/01/2003,OVA,6,,
255,Jungle wa Itsumo Hare nochi Guu Final,7.6,1649,6894,10605,1/01/2003,1/01/2004,OVA,7,,
256,Hoshi no Koe,7.08,4149,1621,163260,1/01/2002,1/01/2002,OVA,1,,
257,Ikkitousen,6.37,8093,1540,174357,1/01/2003,1/01/2003,TV,13,,
258,Hitsuji no Uta,6.11,9662,5414,19578,1/01/2003,1/01/2004,OVA,4,,
259,Happy☆Lesson,6.58,6865,6430,12557,1/01/2001,1/01/2003,OVA,5,,
260,Happy☆Lesson (TV),6.6,6708,4491,30542,1/01/2002,1/01/2002,TV,13,,
261,Happy☆Lesson Advance,6.76,5766,5792,16339,1/01/2003,1/01/2003,TV,13,,
262,Happy☆Lesson The Final,6.76,5767,6960,10424,1/01/2004,1/01/2004,OVA,3,,
263,Hajime no Ippo,8.78,39,351,673179,1/01/2000,1/01/2002,TV,75,,
264,Hajime no Ippo: Champion Road,8.25,355,1690,153764,1/01/2003,1/01/2003,TV Special,1,,
265,Hajime no Ippo: Mashiba vs. Kimura,8.25,356,1998,124687,1/01/2003,1/01/2003,OVA,1,,
266,Gunparade March: Arata Naru Kougunka,6.69,6146,5539,18396,1/01/2003,1/01/2003,TV,12,,
267,Gungrave,7.81,1074,1264,215401,1/01/2003,1/01/2004,TV,26,,
268,Golden Boy,8.04,638,573,448345,1/01/1995,1/01/1996,OVA,6,,
269,Bleach,7.98,721,35,2152246,1/01/2004,1/01/2012,TV,366,,
270,Hellsing,7.5,2041,288,778060,1/01/2001,1/01/2002,TV,13,,
271,Gad Guard,6.63,6515,5906,15569,1/01/2003,1/01/2003,TV,26,,
272,Noir,7.27,3073,2033,121801,1/01/2001,1/01/2001,TV,26,,
273,Mahoutsukai ni Taisetsu na Koto,6.68,6246,4575,29383,1/01/2003,1/01/2003,TV,12,,
274,Kiddy Grade,7.16,3727,3526,49026,1/01/2002,1/01/2003,TV,24,,
276,Mahoromatic: Automatic Maiden,7.13,3900,2928,68931,1/01/2001,1/01/2001,TV,12,,
277,Mahoromatic: Motto Utsukushii Mono,7.12,3930,4222,35012,1/01/2002,1/01/2003,TV,14,,
278,Viewtiful Joe,6.76,5744,6317,13065,1/01/2004,1/01/2005,TV,51,,
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,7.06,4235,3804,43226,1/01/2003,1/01/2003,TV,13,,
280,Animal Yokochou,7.02,4429,10100,3937,1/01/2005,1/01/2006,TV,51,,
282,Angel Heart,7.24,3273,5374,20032,1/01/2005,1/01/2006,TV,50,,
283,Akage no Anne,7.86,951,3436,51468,1/01/1979,1/01/1979,TV,50,,
284,Area 88 (TV),6.98,4613,5849,15886,1/01/2004,1/01/2004,TV,12,,
285,Argento Soma,6.74,5841,4510,30316,1/01/2000,1/01/2001,TV,25,,
286,B'T X,7.01,4490,6270,13315,1/01/1996,1/01/1996,TV,25,,
287,Grappler Baki (TV),7.45,2257,1627,162145,1/01/2001,1/01/2001,TV,24,,
288,Bakuten Shoot Beyblade,6.8,5504,2046,120818,1/01/2001,1/01/2001,TV,51,,
289,Comic Party,6.56,6954,5182,21853,1/01/2001,1/01/2001,TV,13,,
290,Seikai no Monshou,7.62,1592,3236,56930,1/01/1999,1/01/1999,TV,13,,
291,D.C.S.S: Da Capo Second Season,6.92,4890,4213,35145,1/01/2005,1/01/2005,TV,26,,
292,Dear Boys,6.76,5755,5027,23443,1/01/2003,1/01/2003,TV,26,,
293,Di Gi Charat,6.82,5438,4625,28632,1/01/1999,1/01/1999,TV,16,,
295,Divergence Eve 2: Misaki Chronicles,6.28,8694,7495,8667,1/01/2004,1/01/2004,TV,13,,
296,Dragon Drive,6.68,6223,4928,24748,1/01/2002,1/01/2003,TV,38,,
297,Grenadier: Hohoemi no Senshi,6.67,6309,3172,58967,1/01/2004,1/01/2005,TV,12,,
298,.hack//Tasogare no Udewa Densetsu,6.55,7025,2885,70781,1/01/2003,1/01/2003,TV,12,,
299,.hack//Liminality,6.57,6866,4218,35085,1/01/2002,1/01/2003,OVA,4,,
300,3x3 Eyes,6.7,6101,4458,30969,1/01/1991,1/01/1992,OVA,4,,
301,Cinderella Boy,6.32,8407,7488,8689,1/01/2003,1/01/2003,TV,13,,
302,Mirai Shounen Conan,8.09,577,3241,56795,1/01/1978,1/01/1978,TV,26,,
303,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,6.87,5129,5026,23455,1/01/1998,1/01/1999,TV,48,,
304,Aa! Megami-sama! Movie,7.53,1905,3712,44996,1/01/2000,1/01/2000,Movie,1,,
306,Abenobashi Mahou☆Shoutengai,7.21,3437,2378,96907,1/01/2002,1/01/2002,TV,13,,
308,Zettai Shounen,6.85,5267,5148,22213,1/01/2005,1/01/2005,TV,26,,
309,Akahori Gedou Hour Rabuge,6.09,9737,8096,7091,1/01/2005,1/01/2005,TV,13,,
310,"Chiisana Obake: Acchi, Kocchi, Socchi",6.09,9745,11925,2301,1/01/1991,1/01/1992,TV,50,,
311,Ace wo Nerae!,7.1,4042,5846,15909,1/01/1973,1/01/1974,TV,26,,
312,Ace wo Nerae! Final Stage,6.85,5269,10545,3410,1/01/1989,1/01/1990,OVA,12,,
313,Ace wo Nerae! (1979),6.9,4980,8978,5528,1/01/1979,1/01/1979,Movie,1,,
314,Ace wo Nerae! 2,7.18,3616,9715,4413,1/01/1988,1/01/1988,OVA,13,,
315,Xiao Qian,6.38,8051,10444,3507,1/01/1997,1/01/1997,Movie,1,,
317,Final Fantasy VII: Advent Children,7.71,1319,1245,218811,1/01/2005,1/01/2005,Movie,1,,
318,Hand Maid May,6.68,6227,4358,32633,1/01/2000,1/01/2000,TV,10,,
322,Paradise Kiss,7.88,923,1070,253837,1/01/2005,1/01/2005,TV,12,,
323,Mousou Dairinin,7.66,1459,549,462116,1/01/2004,1/01/2004,TV,13,,
324,Kidou Keisatsu Patlabor: On Television,7.69,1371,3711,44995,1/01/1989,1/01/1990,TV,47,,
325,Peach Girl,6.92,4922,2153,112956,1/01/2005,1/01/2005,TV,25,,
326,Petshop of Horrors,7.24,3253,2774,75441,1/01/1999,1/01/1999,TV,4,,
327,Puchi Pri*Yucie,7.4,2480,5728,16861,1/01/2002,1/01/2003,TV,26,,
329,Planetes,8.24,372,991,274948,1/01/2003,1/01/2004,TV,26,,
330,Midori no Hibi,7.21,3418,1491,180213,1/01/2004,1/01/2004,TV,13,,
331,Mahoujin Guruguru,7.58,1739,6501,12177,1/01/1994,1/01/1995,TV,45,,
332,Dokidoki♡Densetsu: Mahoujin Guruguru,7.11,3982,9460,4780,1/01/2000,1/01/2000,TV,38,,
333,Mama wa Shougaku 4-nensei,7.33,2769,7708,8036,1/01/1992,1/01/1992,TV,51,,
